sid,name,season,exp34,exp50,exp64,roll2_mean,Total Affected,cerf
2006025S18147,JIM,2006,0.0,0.0,0,72.58223400000006,0.0,False
2006075S14185,WATI,2006,0.0,0.0,0,39.58727000000006,0.0,False
2006294S10168,XAVIER,2007,0.0,0.0,0,10.931654500000061,0.0,False
2007084S12157,BECKY,2007,210634.0,0.0,0,35.62598700000006,0.0,False
2008015S16162,FUNA,2008,69340.0,5591.0,0,87.13462800000005,0.0,False
2008026S12179,GENE,2008,55126.0,11872.0,0,9.346469300000056,0.0,False
2010070S15168,ULUI,2010,0.0,0.0,0,97.99861300000009,0.0,False
2011010S17169,VANIA,2011,52848.0,13457.0,0,112.88612000000008,32000.0,False
2011028S13180,YASI,2011,0.0,0.0,0,40.72457900000007,0.0,False
2011048S14171,ATU,2011,176106.0,82690.0,82,80.84426800000007,0.0,False
2012032S15141,JASMINE,2012,164648.0,50966.0,0,18.169766000000067,0.0,False
2012092S16166,DAPHNE,2012,56443.0,0.0,0,181.49551500000007,0.0,False
2014068S16169,LUSI,2014,187969.0,1820.0,0,147.30910400000005,20006.0,False
2015066S08170,PAM,2015,245446.0,176106.0,46508,210.6243200000001,188000.0,True
2015364S09190,ULA,2016,2535.0,0.0,0,7.288790000000086,0.0,False
2016041S14170,WINSTON,2016,2535.0,0.0,0,59.24106000000009,0.0,False
2016095S13162,ZENA,2016,71914.0,23860.0,0,103.52392000000007,0.0,False
2017097S12171,COOK,2017,190403.0,4614.0,0,169.92133000000007,0.0,False
2017122S13170,DONNA,2017,34444.0,0.0,0,117.43223600000007,2564.0,False
2018064S16172,HOLA,2018,237296.0,34938.0,0,156.83169600000008,0.0,False
2018096S15172,KENI,2018,0.0,0.0,0,80.37609700000006,0.0,False
2019042S17162,OMA,2019,69340.0,1898.0,0,87.16510700000006,0.0,False
2020092S09155,HAROLD,2020,144570.0,74824.0,49494,202.33764000000005,130120.0,True
2021025S14138,LUCAS,2021,37.0,0.0,0,23.323407000000056,0.0,False
2022038S19164,DOVI,2022,154015.0,0.0,0,85.06588400000005,0.0,False
2022137S13171,GINA,2022,23401.0,0.0,0,56.32433100000004,0.0,False
2023016S15160,IRENE,2023,155758.0,0.0,0,113.40935600000003,0.0,False
2023055S14184,JUDY,2023,245446.0,212887.0,163636,94.14171300000004,251346.0,True
2023059S15149,KEVIN,2023,243732.0,176106.0,151930,94.14171300000004,251356.0,True
2023292S03172,LOLA,2024,173947.0,5378.0,0,91.25644300000003,91000.0,True
2024031S24154,,2024,120980.0,0.0,0,72.02848000000003,0.0,False
2025034S19166,,2025,0.0,0.0,0,69.17164000000002,0.0,False
2025056S16171,SERU,2025,55126.0,0.0,0,59.97671400000003,0.0,False
2025104S15168,TAM,2025,139771.0,0.0,0,73.61214800000002,0.0,False
